selected_windows,covered_sequences,positive_windows,negative_windows,zero_windows,positive_precision,positive_sum,negative_mass,utility_sum,worst_sequence_utility,sequence_utility,robust_score,eligible,outer_held_out_seq,ranker_name,family,target_scale,weight_scheme,gate_name
10,3,5,5,0,0.5,0.121447,0.015955,0.105492,-0.002027,"{""MOT20-01"": 0.10875800000000879, ""MOT20-03"": -0.001239000000026564, ""MOT20-05"": -0.002026999999998283}",0.019636,0,MOT20-02,extra_raw_capped,extra,raw,capped,changed_ge_8
5,2,2,3,0,0.4,0.000376,0.002692,-0.002316,-0.002027,"{""MOT20-01"": 0.0, ""MOT20-03"": -0.00028900000002346396, ""MOT20-05"": -0.002026999999998283}",-0.021857,0,MOT20-02,extra_raw_capped,extra,raw,capped,changed_ge_12
12,3,5,6,1,0.416666666667,0.121447,0.016055,0.105392,-0.002027,"{""MOT20-01"": 0.10875800000000879, ""MOT20-03"": -0.0013390000000298638, ""MOT20-05"": -0.002026999999998283}",0.019036,0,MOT20-02,extra_raw_capped,extra,raw,capped,impact_receiver_le_080
10,3,5,5,0,0.5,0.121447,0.015955,0.105492,-0.002027,"{""MOT20-01"": 0.10875800000000879, ""MOT20-03"": -0.001239000000026564, ""MOT20-05"": -0.002026999999998283}",0.019636,0,MOT20-02,extra_raw_capped,extra,raw,capped,changed_ge_4_impact_receiver_le_080
9,3,4,5,0,0.444444444444,0.121392,0.015955,0.105437,-0.002027,"{""MOT20-01"": 0.10875800000000879, ""MOT20-03"": -0.0012940000000156, ""MOT20-05"": -0.002026999999998283}",0.019581,0,MOT20-02,extra_raw_capped,extra,raw,capped,changed_ge_4_impact_pair_le_050
9,3,5,4,0,0.555555555556,0.121447,0.015005,0.106442,-0.002027,"{""MOT20-01"": 0.10875800000000879, ""MOT20-03"": -0.00028900000002346396, ""MOT20-05"": -0.002026999999998283}",0.025336,0,MOT20-02,extra_raw_capped,extra,raw,capped,changed_ge_4_margin_ge_002
9,3,5,4,0,0.555555555556,0.121447,0.013691,0.107756,-0.001239,"{""MOT20-01"": 0.10875800000000879, ""MOT20-03"": -0.001239000000026564, ""MOT20-05"": 0.0002369999999984168}",0.035584,0,MOT20-02,extra_raw_capped,extra,raw,capped,changed_ge_4_score_ge_070
12,3,5,6,1,0.416666666667,0.121447,0.055315,0.066132,-0.040599,"{""MOT20-01"": 0.10875800000000879, ""MOT20-03"": -0.04059900000004276, ""MOT20-05"": -0.002026999999998283}",-0.33224,0,MOT20-02,extra_raw_tail,extra,raw,tail,all
12,3,5,6,1,0.416666666667,0.121447,0.055315,0.066132,-0.040599,"{""MOT20-01"": 0.10875800000000879, ""MOT20-03"": -0.04059900000004276, ""MOT20-05"": -0.002026999999998283}",-0.33224,0,MOT20-02,extra_raw_tail,extra,raw,tail,changed_ge_2
10,3,5,5,0,0.5,0.121447,0.055215,0.066232,-0.040499,"{""MOT20-01"": 0.10875800000000879, ""MOT20-03"": -0.04049900000003946, ""MOT20-05"": -0.002026999999998283}",-0.33134,0,MOT20-02,extra_raw_tail,extra,raw,tail,changed_ge_4
